"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
lci_b9biv_8,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #8
Mood rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 8",y,,,,,
lci_b9bi_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #9
Start Date:

<i>*Most of these will only have one date to enter (e.g., date of sibling birth, date of divorce, etc.) but we are putting a start and end date possibility for the sake of consistency.</i>",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 9",y,,,,,
lci_b9bii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #9
End Date:",,,date_ymd,,,y,"[lci_b9] = '1' and [lci_b9b_count] >= 9",,,,,,
lci_b9biii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #9
Event Type:

<i>*For event type, enter brief explanation, such as ""Parent remarried"", or ""Sister was born"".</i>",,,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 9",y,,,,,
lci_b9biv_9,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #9
Mood rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b9] = '1' and [lci_b9b_count] >= 9",y,,,,,
lci_b10,life_chart_interview_b_birth_to_start_of_elementar,,yesno,"B10. Did any bad things happen during this period (for example, illnesses, deaths in the family, divorce, problems in the family, or a parent, relative or friend treating you badly)?",,,,,,,,y,,,,,
lci_b10b_count,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"B10b#. Describe briefly each bad event that happened and the approximate date each occurred. In addition, we would like you to estimate how your mood was (on the scale of (1-10) in response to each of these events.

Count:","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9",,,,,,"[lci_b10] = '1'",y,,,,,
lci_b10bi_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #1
Start date:

<i>*Some events may just have one date (e.g., the date someone died) while others may have a start and end date (e.g., abuse by a parent that lasted years).
*Please prompt them to also indicate any events they may have mentioned in other sections that did not include mood ratings. For example, if they would count one of their moves as stressful - this should be entered here as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 1",y,,,,,
lci_b10bii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #1
End date:",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 1",,,,,,
lci_b10biii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #1
Type:",,,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 1",,,,,,
lci_b10biv_1,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #1
Mood Rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 1",y,,,,,
lci_b10bi_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #2
Start date:

<i>*Some events may just have one date (e.g., the date someone died) while others may have a start and end date (e.g., abuse by a parent that lasted years).
*Please prompt them to also indicate any events they may have mentioned in other sections that did not include mood ratings. For example, if they would count one of their moves as stressful - this should be entered here as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 2",y,,,,,
lci_b10bii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #2
End date:",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 2",,,,,,
lci_b10biii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #2
Type:",,,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 2",,,,,,
lci_b10biv_2,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #2
Mood Rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 2",y,,,,,
lci_b10bi_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #3
Start date:

<i>*Some events may just have one date (e.g., the date someone died) while others may have a start and end date (e.g., abuse by a parent that lasted years).
*Please prompt them to also indicate any events they may have mentioned in other sections that did not include mood ratings. For example, if they would count one of their moves as stressful - this should be entered here as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 3",y,,,,,
lci_b10bii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #3
End date:",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 3",,,,,,
lci_b10biii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #3
Type:",,,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 3",,,,,,
lci_b10biv_3,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #3
Mood Rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 3",y,,,,,
lci_b10bi_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #4
Start date:

<i>*Some events may just have one date (e.g., the date someone died) while others may have a start and end date (e.g., abuse by a parent that lasted years).
*Please prompt them to also indicate any events they may have mentioned in other sections that did not include mood ratings. For example, if they would count one of their moves as stressful - this should be entered here as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 4",y,,,,,
lci_b10bii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #4
End date:",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 4",,,,,,
lci_b10biii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #4
Type:",,,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 4",,,,,,
lci_b10biv_4,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #4
Mood Rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 4",y,,,,,
lci_b10bi_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #5
Start date:

<i>*Some events may just have one date (e.g., the date someone died) while others may have a start and end date (e.g., abuse by a parent that lasted years).
*Please prompt them to also indicate any events they may have mentioned in other sections that did not include mood ratings. For example, if they would count one of their moves as stressful - this should be entered here as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 5",y,,,,,
lci_b10bii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #5
End date:",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 5",,,,,,
lci_b10biii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #5
Type:",,,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 5",,,,,,
lci_b10biv_5,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #5
Mood Rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 5",y,,,,,
lci_b10bi_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #6
Start date:

<i>*Some events may just have one date (e.g., the date someone died) while others may have a start and end date (e.g., abuse by a parent that lasted years).
*Please prompt them to also indicate any events they may have mentioned in other sections that did not include mood ratings. For example, if they would count one of their moves as stressful - this should be entered here as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 6",y,,,,,
lci_b10bii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #6
End date:",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 6",,,,,,
lci_b10biii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #6
Type:",,,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 6",,,,,,
lci_b10biv_6,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #6
Mood Rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 6",y,,,,,
lci_b10bi_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #7
Start date:

<i>*Some events may just have one date (e.g., the date someone died) while others may have a start and end date (e.g., abuse by a parent that lasted years).
*Please prompt them to also indicate any events they may have mentioned in other sections that did not include mood ratings. For example, if they would count one of their moves as stressful - this should be entered here as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 7",y,,,,,
lci_b10bii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #7
End date:",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 7",,,,,,
lci_b10biii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #7
Type:",,,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 7",,,,,,
lci_b10biv_7,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #7
Mood Rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 7",y,,,,,
lci_b10bi_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #8
Start date:

<i>*Some events may just have one date (e.g., the date someone died) while others may have a start and end date (e.g., abuse by a parent that lasted years).
*Please prompt them to also indicate any events they may have mentioned in other sections that did not include mood ratings. For example, if they would count one of their moves as stressful - this should be entered here as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 8",y,,,,,
lci_b10bii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #8
End date:",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 8",,,,,,
lci_b10biii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #8
Type:",,,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 8",,,,,,
lci_b10biv_8,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #8
Mood Rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 8",y,,,,,
lci_b10bi_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #9
Start date:

<i>*Some events may just have one date (e.g., the date someone died) while others may have a start and end date (e.g., abuse by a parent that lasted years).
*Please prompt them to also indicate any events they may have mentioned in other sections that did not include mood ratings. For example, if they would count one of their moves as stressful - this should be entered here as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 9",y,,,,,
lci_b10bii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #9
End date:",,,date_ymd,,,y,"[lci_b10] = '1' and [lci_b10b_count] >= 9",,,,,,
lci_b10biii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #9
Type:",,,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 9",,,,,,
lci_b10biv_9,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #9
Mood Rating:","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b10] = '1' and [lci_b10b_count] >= 9",y,,,,,
lci_b11,life_chart_interview_b_birth_to_start_of_elementar,,yesno,"B11. Did any good things happen during this period (for example, births, memorable family vacations, etc.)?",,,,,,,,y,,,,,
lci_b11b_count,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"B11b#. Describe briefly each good event that happened and the approximate date each occurred. In addition, we would like you to estimate how your mood was (on the scale of 1-10) in response to each of these events.

Count:","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9",,,,,,"[lci_b11] = '1'",y,,,,,
lci_b11bi_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #1
Start date:

<i>*Some events may just have one date (e.g., the date their sister was born) while others may have a start and end date (e.g., going to a meaningful summer camp)
*Please prompt them to also indicate any events they may have mentioned in other sections. For example, if they would count one of their moves as a positive event - this should be entered h ere as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 1",y,,,,,
lci_b11bii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #1
End date:",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 1",,,,,,
lci_b11biii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #1
Type:",,,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 1",,,,,,
lci_b11biv_1,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #1
Mood Rating","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 1",y,,,,,
lci_b11bi_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #2
Start date:

<i>*Some events may just have one date (e.g., the date their sister was born) while others may have a start and end date (e.g., going to a meaningful summer camp)
*Please prompt them to also indicate any events they may have mentioned in other sections. For example, if they would count one of their moves as a positive event - this should be entered h ere as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 2",y,,,,,
lci_b11bii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #2
End date:",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 2",,,,,,
lci_b11biii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #2
Type:",,,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 2",,,,,,
lci_b11biv_2,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #2
Mood Rating","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 2",y,,,,,
lci_b11bi_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #3
Start date:

<i>*Some events may just have one date (e.g., the date their sister was born) while others may have a start and end date (e.g., going to a meaningful summer camp)
*Please prompt them to also indicate any events they may have mentioned in other sections. For example, if they would count one of their moves as a positive event - this should be entered h ere as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 3",y,,,,,
lci_b11bii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #3
End date:",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 3",,,,,,
lci_b11biii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #3
Type:",,,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 3",,,,,,
lci_b11biv_3,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #3
Mood Rating","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 3",y,,,,,
lci_b11bi_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #4
Start date:

<i>*Some events may just have one date (e.g., the date their sister was born) while others may have a start and end date (e.g., going to a meaningful summer camp)
*Please prompt them to also indicate any events they may have mentioned in other sections. For example, if they would count one of their moves as a positive event - this should be entered h ere as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 4",y,,,,,
lci_b11bii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #4
End date:",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 4",,,,,,
lci_b11biii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #4
Type:",,,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 4",,,,,,
lci_b11biv_4,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #4
Mood Rating","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 4",y,,,,,
lci_b11bi_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #5
Start date:

<i>*Some events may just have one date (e.g., the date their sister was born) while others may have a start and end date (e.g., going to a meaningful summer camp)
*Please prompt them to also indicate any events they may have mentioned in other sections. For example, if they would count one of their moves as a positive event - this should be entered h ere as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 5",y,,,,,
lci_b11bii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #5
End date:",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 5",,,,,,
lci_b11biii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #5
Type:",,,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 5",,,,,,
lci_b11biv_5,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #5
Mood Rating","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 5",y,,,,,
lci_b11bi_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #6
Start date:

<i>*Some events may just have one date (e.g., the date their sister was born) while others may have a start and end date (e.g., going to a meaningful summer camp)
*Please prompt them to also indicate any events they may have mentioned in other sections. For example, if they would count one of their moves as a positive event - this should be entered h ere as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 6",y,,,,,
lci_b11bii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #6
End date:",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 6",,,,,,
lci_b11biii_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #6
Type:",,,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 6",,,,,,
lci_b11biv_6,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #6
Mood Rating","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 6",y,,,,,
lci_b11bi_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #7
Start date:

<i>*Some events may just have one date (e.g., the date their sister was born) while others may have a start and end date (e.g., going to a meaningful summer camp)
*Please prompt them to also indicate any events they may have mentioned in other sections. For example, if they would count one of their moves as a positive event - this should be entered h ere as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 7",y,,,,,
lci_b11bii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #7
End date:",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 7",,,,,,
lci_b11biii_7,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #7
Type:",,,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 7",,,,,,
lci_b11biv_7,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #7
Mood Rating","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 7",y,,,,,
lci_b11bi_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #8
Start date:

<i>*Some events may just have one date (e.g., the date their sister was born) while others may have a start and end date (e.g., going to a meaningful summer camp)
*Please prompt them to also indicate any events they may have mentioned in other sections. For example, if they would count one of their moves as a positive event - this should be entered h ere as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 8",y,,,,,
lci_b11bii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #8
End date:",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 8",,,,,,
lci_b11biii_8,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #8
Type:",,,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 8",,,,,,
lci_b11biv_8,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #8
Mood Rating","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 8",y,,,,,
lci_b11bi_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #9
Start date:

<i>*Some events may just have one date (e.g., the date their sister was born) while others may have a start and end date (e.g., going to a meaningful summer camp)
*Please prompt them to also indicate any events they may have mentioned in other sections. For example, if they would count one of their moves as a positive event - this should be entered h ere as well. Changes to their family makeup are covered in the previous question, so no need to enter these.</i>",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 9",y,,,,,
lci_b11bii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #9
End date:",,,date_ymd,,,y,"[lci_b11] = '1' and [lci_b11b_count] >= 9",,,,,,
lci_b11biii_9,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #9
Type:",,,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 9",,,,,,
lci_b11biv_9,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #9
Mood Rating","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b11] = '1' and [lci_b11b_count] >= 9",y,,,,,
lci_b12_count,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"B12#. Is there anything else that happened during this time period that you would like to share, which has not already been covered?

Count:","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9",,,,,,,y,,,,,
lci_b12i_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #1
Start date:",,,date_ymd,,,y,"[lci_b12_count] >= 1",y,,,,,
lci_b12ii_1,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #1
End date:",,,date_ymd,,,y,"[lci_b12_count] >= 1",,,,,,
lci_b12iii_1,life_chart_interview_b_birth_to_start_of_elementar,,notes,"Event #1
Brief Description:",,,,,,,"[lci_b12_count] >= 1",,,,,,
lci_b12iv_1,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #1
Mood Rating (if applicable)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b12_count] >= 1",,,,,,
lci_b12i_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #2
Start date:",,,date_ymd,,,y,"[lci_b12_count] >= 2",y,,,,,
lci_b12ii_2,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #2
End date:",,,date_ymd,,,y,"[lci_b12_count] >= 2",,,,,,
lci_b12iii_2,life_chart_interview_b_birth_to_start_of_elementar,,notes,"Event #2
Brief Description:",,,,,,,"[lci_b12_count] >= 2",,,,,,
lci_b12iv_2,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #2
Mood Rating (if applicable)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b12_count] >= 2",,,,,,
lci_b12i_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #3
Start date:",,,date_ymd,,,y,"[lci_b12_count] >= 3",y,,,,,
lci_b12ii_3,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #3
End date:",,,date_ymd,,,y,"[lci_b12_count] >= 3",,,,,,
lci_b12iii_3,life_chart_interview_b_birth_to_start_of_elementar,,notes,"Event #3
Brief Description:",,,,,,,"[lci_b12_count] >= 3",,,,,,
lci_b12iv_3,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #3
Mood Rating (if applicable)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b12_count] >= 3",,,,,,
lci_b12i_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #4
Start date:",,,date_ymd,,,y,"[lci_b12_count] >= 4",y,,,,,
lci_b12ii_4,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #4
End date:",,,date_ymd,,,y,"[lci_b12_count] >= 4",,,,,,
lci_b12iii_4,life_chart_interview_b_birth_to_start_of_elementar,,notes,"Event #4
Brief Description:",,,,,,,"[lci_b12_count] >= 4",,,,,,
lci_b12iv_4,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #4
Mood Rating (if applicable)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b12_count] >= 4",,,,,,
lci_b12i_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #5
Start date:",,,date_ymd,,,y,"[lci_b12_count] >= 5",y,,,,,
lci_b12ii_5,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #5
End date:",,,date_ymd,,,y,"[lci_b12_count] >= 5",,,,,,
lci_b12iii_5,life_chart_interview_b_birth_to_start_of_elementar,,notes,"Event #5
Brief Description:",,,,,,,"[lci_b12_count] >= 5",,,,,,
lci_b12iv_5,life_chart_interview_b_birth_to_start_of_elementar,,dropdown,"Event #5
Mood Rating (if applicable)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,"[lci_b12_count] >= 5",,,,,,
lci_b12i_6,life_chart_interview_b_birth_to_start_of_elementar,,text,"Event #6
Start date:",,,date_ymd,,,y,"[lci_b12_count] >= 6",y,,,,,
